pickup_datetime,dropoff_datetime,trip_distance,fare_amount,total_amount,passenger_count,pu_location_id,do_location_id,pu_borough,pu_zone,do_borough,do_zone,trip_duration_min,avg_speed_mph,fare_per_mile
2024-01-15 08:03:00,2024-01-15 08:21:00,2.3,12.5,14.8,1,161,237,Manhattan,Midtown Center,Manhattan,Upper East Side South,18,7.67,5.43
2024-01-15 09:14:00,2024-01-15 09:29:00,1.8,10.0,12.3,2,237,161,Manhattan,Upper East Side South,Manhattan,Midtown Center,15,7.2,5.56
2024-01-15 13:45:00,2024-01-15 14:02:00,3.1,14.0,16.5,1,132,90,Manhattan,JFK Airport,Queens,Elmhurst,17,10.94,4.52
2024-01-15 17:22:00,2024-01-15 17:51:00,5.6,22.0,25.5,3,138,132,Queens,LaGuardia Airport,Manhattan,JFK Airport,29,11.59,3.93
2024-01-15 22:10:00,2024-01-15 22:34:00,4.2,18.5,21.0,1,161,239,Manhattan,Midtown Center,Manhattan,Upper West Side North,24,10.5,4.4
2024-01-16 07:30:00,2024-01-16 07:48:00,2.9,13.0,15.5,2,237,24,Manhattan,Upper East Side South,Manhattan,Bloomingdale,18,9.67,4.48
2024-01-16 10:55:00,2024-01-16 11:08:00,1.2,8.5,10.0,1,90,132,Queens,Elmhurst,Manhattan,JFK Airport,13,5.54,7.08
2024-01-16 14:20:00,2024-01-16 14:39:00,2.7,12.0,14.3,1,24,161,Manhattan,Bloomingdale,Manhattan,Midtown Center,19,8.53,4.44
2024-01-16 18:45:00,2024-01-16 19:10:00,6.1,24.5,28.0,2,132,138,Manhattan,JFK Airport,Queens,LaGuardia Airport,25,14.64,4.02
2024-01-16 23:30:00,2024-01-16 23:52:00,3.8,16.0,18.8,1,239,161,Manhattan,Upper West Side North,Manhattan,Midtown Center,22,10.36,4.21
2024-01-17 06:15:00,2024-01-17 06:28:00,1.5,9.0,11.0,1,161,48,Manhattan,Midtown Center,Manhattan,Clinton East,13,6.92,6.0
2024-01-17 08:40:00,2024-01-17 09:05:00,3.4,15.5,18.0,2,237,100,Manhattan,Upper East Side South,Manhattan,Lenox Hill East,25,8.16,4.56
2024-01-17 11:30:00,2024-01-17 11:47:00,2.1,11.5,13.5,1,100,237,Manhattan,Lenox Hill East,Manhattan,Upper East Side South,17,7.41,5.48
2024-01-17 14:55:00,2024-01-17 15:18:00,4.8,20.0,23.5,3,48,132,Manhattan,Clinton East,Manhattan,JFK Airport,23,12.52,4.17
2024-01-17 19:05:00,2024-01-17 19:32:00,5.3,21.5,25.0,1,138,161,Queens,LaGuardia Airport,Manhattan,Midtown Center,27,11.78,4.06
2024-01-18 07:00:00,2024-01-18 07:19:00,2.6,12.5,14.8,2,161,239,Manhattan,Midtown Center,Manhattan,Upper West Side North,19,8.21,4.81
2024-01-18 09:25:00,2024-01-18 09:44:00,1.9,10.5,12.5,1,239,48,Manhattan,Upper West Side North,Manhattan,Clinton East,19,6.0,5.53
2024-01-18 12:10:00,2024-01-18 12:28:00,2.4,12.0,14.2,1,48,237,Manhattan,Clinton East,Manhattan,Upper East Side South,18,8.0,5.0
2024-01-18 15:40:00,2024-01-18 15:58:00,2.2,11.0,13.0,2,237,100,Manhattan,Upper East Side South,Manhattan,Lenox Hill East,18,7.33,5.0
2024-01-18 20:15:00,2024-01-18 20:42:00,6.8,27.0,31.5,1,161,132,Manhattan,Midtown Center,Manhattan,JFK Airport,27,15.11,3.97
2024-01-19 08:05:00,2024-01-19 08:22:00,1.7,10.0,12.0,1,100,161,Manhattan,Lenox Hill East,Manhattan,Midtown Center,17,6.0,5.88
2024-01-19 10:30:00,2024-01-19 10:51:00,3.2,14.5,17.0,2,161,90,Manhattan,Midtown Center,Queens,Elmhurst,21,9.14,4.53
2024-01-19 13:15:00,2024-01-19 13:33:00,2.8,13.0,15.3,1,90,237,Queens,Elmhurst,Manhattan,Upper East Side South,18,9.33,4.64
2024-01-19 16:50:00,2024-01-19 17:18:00,7.2,29.0,33.5,3,237,138,Manhattan,Upper East Side South,Queens,LaGuardia Airport,28,15.43,4.03
2024-01-19 21:00:00,2024-01-19 21:22:00,4.1,17.5,20.0,1,239,161,Manhattan,Upper West Side North,Manhattan,Midtown Center,22,11.18,4.27
